id,name,height,weight,type,description,image,hp,attack,defense,special-attack,special-defense,speed
1,Bulbasaur,7,69,"['Grass', 'Poison']",A strange seed was planted on its back at birth.The plant sprouts and grows with this Pokémon.,Bulbasaur.png,45,49,49,65,65,45
2,Ivysaur,10,130,"['Grass', 'Poison']","When the bulb on its back grows large, it appearsto lose the ability to stand on its hind legs.",Ivysaur.png,60,62,63,80,80,60
3,Venusaur,20,1000,"['Grass', 'Poison']",The plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.,Venusaur.png,80,82,83,100,100,80
4,Charmander,6,85,['Fire'],"Obviously prefers hot places. When it rains, steamis said to spout from the tip of its tail.",Charmander.png,39,52,43,60,50,65
5,Charmeleon,11,190,['Fire'],"When it swings its burning tail, it elevates thetemperature to unbearably high levels.",Charmeleon.png,58,64,58,80,65,80
6,Charizard,17,905,"['Fire', 'Flying']",Spits fire that is hot enough to melt boulders.Known to cause forest fires unintentionally.,Charizard.png,78,84,78,109,85,100
7,Squirtle,5,90,['Water'],"After birth, its back swells and hardens into ashell. Powerfully sprays foam from its mouth.",Squirtle.png,44,48,65,50,64,43
8,Wartortle,10,225,['Water'],"Often hides in water to stalk unwary prey. Forswimming fast, it moves its ears to maintain balance.",Wartortle.png,59,63,80,65,80,58
9,Blastoise,16,855,['Water'],A brutal Pokémon with pressurized water jets on itsshell. They are used for high speed tackles.,Blastoise.png,79,83,100,85,105,78
10,Caterpie,3,29,['Bug'],Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,Caterpie.png,45,30,35,20,20,45
11,Metapod,7,99,['Bug'],"This Pokémon is vulnerable to attack while itsshell is soft, exposing its weak and tender body.",Metapod.png,50,20,55,25,25,30
12,Butterfree,11,320,"['Bug', 'Flying']","In battle, it flaps its wings at high speed torelease highly toxic dust into the air.",Butterfree.png,60,45,50,90,80,70
13,Weedle,3,32,"['Bug', 'Poison']","Often found in forests, eating leaves.It has a sharp venomous stinger on its head.",Weedle.png,40,35,30,20,20,50
14,Kakuna,6,100,"['Bug', 'Poison']","Almost incapable of moving, this Pokémon can onlyharden its shell to protect itself from predators.",Kakuna.png,45,25,50,25,25,35
15,Beedrill,10,295,"['Bug', 'Poison']",It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Beedrill.png,65,90,40,45,80,75
16,Pidgey,3,18,"['Normal', 'Flying']",A common sight in forests and woods. It flaps itswings at ground level to kick up blinding sand.,Pidgey.png,40,45,40,35,35,56
17,Pidgeotto,11,300,"['Normal', 'Flying']","Very protective of its sprawling territorial area,this Pokémon will fiercely peck at any intruder.",Pidgeotto.png,63,60,55,50,50,71
18,Pidgeot,15,395,"['Normal', 'Flying']","When hunting, it skims the surface of water at highspeed to pick off unwary prey such as MAGIKARP.",Pidgeot.png,83,80,75,70,70,101
19,Rattata,3,35,['Normal'],"Bites anything when it attacks. Small and veryquick, it is a common sight in many places.",Rattata.png,30,56,35,25,35,72
20,Raticate,7,185,['Normal'],It uses its whis­ kers to maintain its balance.It apparently slows down if they are cut off.,Raticate.png,55,81,60,50,70,97
