pokemon1,pokemon2,move,helper
Mega Mewtwo Y Y,Mega Mewtwo Y,Best move would be Future Sight. The one who has priority wins.,rahhla_coarster
Mega Mewtwo Y,Regigigas,"Best move to use would be Future Sight. You lose, but you leave Regigigas at low HP, so you can cover up that damage with something that has a priority move in the back.",rahhla_coarster
Mega Mewtwo Y,Kyogre,Best move to use would be Future Sight. You can 2KO the Kyogre.,rahhla_coarster
Mega Mewtwo Y,Zacian,"Best move would be Future Sight. You can 2KO the Zacian if timid. You lose if you're a modest Mega Mewtwo Y. So if the opponent has something in the back like Eternatus, the best option would be to switch into something like Metagross to save Mega Mewtwo Y for it.",rahhla_coarster
Mega Mewtwo Y,Rayquaza,"Best move would be Future Sight. It leaves Rayquaza at Extreme Speed range, so if you've got priority and an Arceus in the back, go straight! If not and you see an Eternatus in the back, switch out to save Mega Mewtwo Y if Eternatus counters your tail Pokémon.",rahhla_coarster
Mega Mewtwo Y,Giratina,"Best move would be Future Sight. Recommended to switch on turn one to Pokémon like Yveltal or Rayquaza if you've got them, as Giratina OHKOs Mega Mewtwo Y.",rahhla_coarster
Mega Mewtwo Y,Arceus,"Best move would be Future Sight. If you're careful, Mega Mewtwo Y stays in boldly because you'll win. If you're not careful and you doubt your opponent to be rash, switch to something like Giratina or Marshadow or Metagross.",rahhla_coarster
Mega Mewtwo Y,Groudon,"Best move would be Future Sight. You die anyway to Groudon, but you can manage to catch his Precipice Blades or Eruption after Hammer on a Rayquaza or Yveltal. If you choose to go straight, have something in the mid like Arceus so it can kill the Groudon with the damage from Future Sight.",rahhla_coarster
Mega Mewtwo Y,Zamazenta,"Best move would be Future Sight. It OKOs, so no worries.",rahhla_coarster
Mega Mewtwo Y,Eternatus,"Best move would be Future Sight. It OKOs, so no worries.",rahhla_coarster
Mega Mewtwo Y,Ho Oh,"Best move would be Future Sight. It 2KOs, so go straight in!",rahhla_coarster
Mega Mewtwo Y,Yveltal,"Best move would be Ancient Power. Yveltal is a Mega Mewtwo Y hard counter, so I prefer you switch into something like a Magearna or a bold Arceus in the back!",rahhla_coarster
Mega Mewtwo Y,Mega Metagross,"Best move would be Aura Sphere. Metagross is another hard counter of Mega Mewtwo Y, so you may switch to anything like Groudon, Kyogre, Yveltal, Rayquaza if you have those in the back.",rahhla_coarster
Mega Mewtwo Y,Marshadow,"Best move would be Future Sight. It OKOs, so no worries. But Marshadow might get chip damage off Sucker Punch on Mega Mewtwo Y.",rahhla_coarster
Mega Mewtwo Y,Flutter mane,"Best move would be Future Sight. Future Sight 2KOs, so no worries, stay right in!",rahhla_coarster
Mega Mewtwo Y,Magearna,"Best move would be Aura Sphere. But Magearna hard counters as Fleur Cannon debuffs Special Attack. So, you better switch into a Groudon/Metagross in the back.",rahhla_coarster
Mega Mewtwo Y,Lunala,"Best move would be Future Sight. Lunala is a hard counter for Mega Mewtwo Y, so the best option would be to switch into a Yveltal/Rayquaza.",rahhla_coarster
Mega Mewtwo Y,Slaking,"Best move would be Future Sight. Slaking kills Mega Mewtwo Y anyway, but you leave Slaking at low HP. A switch is not recommended, but if Mega Mewtwo Y has to be saved, yes, you gotta switch. Switch into a Metagross if you're doing so.",rahhla_coarster
Mega Mewtwo Y,Koraidon,Best move would be Future Sight as it OKOs.,rahhla_coarster
Mega Mewtwo Y,Miraidon,Best move would be Future Sight as it has to 2KO as long as Mega Mewtwo Y is fast.,btc3476
Regigigas,Mega Mewtwo Y,"The best move would be Hammer + Giga Impact. You 2KO, so no worries.",btc3476
Regigigas,Regigigas,"The best move would be two Hammer Arm. If you have Superpower, use Hammer Arm + Superpower to debuff if the opponent switches. It's a priority game; if both are jolly, priority wins. One adamant and another jolly, jolly one wins.",btc3476
Regigigas,Kyogre,The best move to use would be hammer arm + giga impact. If you are jolly regi use two giga impact if u feel like opponent would switch into something like groudon. If you are ada regi and opponent is timid kyo use hammer arm + giga impact.,btc3476
Regigigas,Zacian,"The best move would be to use Hammer and Giga. Regigigas dies to Zacian anyway, unless it's a bad Zacian. After Hammer + Giga, Zacian is left at Extreme Speed range, so you can use a Rayquaza or Arceus mid while using Regigigas.",btc3476
Regigigas,Rayquaza,"The best move would be to use Ice Punch. If you feel like the opponent has an Impish Rayquaza, it's best to use Hammer Arm + Ice Punch. But if you don't have Ice Punch, you can use Hammer Arm + Giga Impact. It won't kill, but it will do good damage.",btc3476
Regigigas,Giratina,The best move would be to use Ice Punch thrice. It's better to switch up into a Yveltal if you have one in the back.,btc3476
Regigigas,Arceus,"The best move would be to use Hammer twice. Arceus dies to 2 Hammers, so go straight!",btc3476
Regigigas,Groudon,"The best move would be to use Hammer and Giga if your mint is jolly. If your mint is adamant, the best move is Giga Impact. It's best to run an Arceus or Ray along with Regigigas because they will cover up the damage.",btc3476
Regigigas,Zamazenta,"The best move would be to try to switch, as Zamazenta one-shots Regigigas mostly. If confident about tanking, play Hammer Arm + Giga Impact.",btc3476
